Variable,SHAP_abs,Corr,Sign
Pembentukan Dana Cadangan,0.14323936682701047,-0.9044266959056738,blue
Belanja Barang dan Jasa,0.1629068033043477,0.4692313413472267,red
Belanja Modal Gedung dan Bangunan,0.18364150033268964,-0.3298769453680532,blue
Belanja Tidak Terduga,0.1889751712111547,0.7430878978381457,red
Lain-lain PAD yang Sah,0.2437765429775034,-0.5956799696754398,blue
Belanja Hibah,0.26390492589251763,0.7302161764621605,red
Belanja Bantuan Sosial,0.265641124614461,0.6743278492100002,red
Pajak Daerah,0.32640539498975263,0.81570243814843,red
Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,0.40550341173661497,0.7047392698870153,red
Belanja Bantuan Keuangan,1.0060082755367472,-0.8946025321916756,blue
