Variable,SHAP_abs,Corr,Sign
Belanja Subsidi,0.27210351354895296,-0.5790792784610954,blue
Belanja Modal Gedung dan Bangunan,0.3307600907712696,-0.7910686778466893,blue
Lain-lain PAD yang Sah,0.36231539940871277,0.8822343570995482,red
Belanja Bantuan Sosial,0.45071315035134846,-0.8770176683589338,blue
Belanja Hibah,0.4686860930925606,0.2987900544770979,red
Belanja Pegawai,0.4730662938592097,0.8141098987260023,red
Pendapatan Transfer Pemerintah Pusat,0.6248392564270412,-0.8862009896465245,blue
Retribusi Daerah,0.6941106954943039,0.36791949970943455,red
Pendapatan Transfer Antar Daerah,1.0544519147508278,0.5667653736555689,red
Pajak Daerah,1.2967278009635712,0.6317096059596051,red
