Variable,SHAP_abs,Corr,Sign
Belanja Hibah,0.19348611298043183,0.24721305725372764,red
Pajak Daerah,0.20465021980717912,0.5277649024885482,red
Belanja Modal Tanah,0.22123811580607877,0.7253208320021232,red
Retribusi Daerah,0.32790101833371443,0.6601065599309469,red
Belanja Modal Gedung dan Bangunan,0.3570965652010638,0.5501230372926909,red
"Belanja Modal Jalan, Jaringan, dan Irigasi",0.4217015892758591,-0.8369314175576363,blue
Belanja Pegawai,0.5382061827620579,0.8080797686828904,red
Belanja Bagi Hasil,0.5760059955265522,-0.5180152787907814,blue
Belanja Barang dan Jasa,0.6035333808083063,0.8544428725205369,red
Belanja Bantuan Keuangan,1.1759058006836336,-0.940646557203822,blue
